company_name,isin,symbol
Infibeam Avenues Ltd,INE483S01020,INFIBEAM.NS
Info Edge India Ltd,INE663F01024,NAUKRI.NS
HCL Infosystems Ltd,INE236A01020,INFY.NS
Ingersoll Rand (India),INE177A01018,INGERRAND.NS
Inox Leisure Ltd,INE312H01016,INOXLEISUR.NS
Ipca Laboratories Ltd.,INE571A01020,IPCALAB.NS
IRB Infrastructure Developers Ltd,INE821I01014,IRB.NS
Ircon International Ltd,INE962Y01013,IRCON.NS
Indian Railway Catering And Tourism Corporation,INE335Y01020,IRCTC.NS
ITC Ltd,INE154A01025,ITC.NS
India Tourism Development Corporation,INE353K01014,ITDC.NS
BF Utilities Ltd.,INE243D01012,BFUTILITIE.NS
Jagran Prakashan Ltd,INE199G01027,JAGRAN.NS
JB Chemicals & Pharmaceuticals,INE572A01028,JBCHEPHARM.NS
Jindal Saw Ltd.,INE324A01024,JINDALSAW.NS
Jindal Stainless Ltd,INE220G01021,JSL.NS
Jindal Steel & Power Ltd,INE749A01030,JINDALSTEL.NS
JK Cement,INE823G01014,JKCEMENT.NS
JK Lakshmi Cement Ltd,INE786A01032,JKLAKSHMI.NS
JK Paper Ltd,INE789E01012,JKPAPER.NS
JM Financial Ltd,INE780C01023,JMFINANCIL.NS
Johnson Controls - Hitachi Air Conditioning India,INE782A01015,JCHAC.NS
JSW Energy Ltd,INE121E01018,JSWENERGY.NS
JSW Holdings,INE824G01012,JSWHL.BO
JSW Steel Ltd,INE019A01038,JSWSTEEL.NS
Jubilant Foodworks Ltd,INE797F01012,JUBLFOOD.NS
Jubilant Life Sciences Ltd,INE700A01033,JUBLPHARMA.NS
Just Dial Ltd,INE599M01018,JUSTDIAL.NS
Jyothy Labs,INE668F01031,JYOTHYLAB.NS
K.P.R. Mill,INE930H01031,KPRMILL.NS
Kajaria Ceramics Ltd,INE217B01036,KAJARIACER.NS
Kalpataru Power Transmission Ltd.,INE220B01022,KALPATPOWR.NS
Kansai Nerolac Paints Ltd,INE531A01024,KANSAINER.NS
Karur Vysya Bank Ltd,INE036D01028,KARURVYSYA.NS
Kaveri Seed Company Ltd,INE455I01029,KSCL.NS
KEC International Ltd.,INE389H01022,KEC.NS
KEI Industries Ltd,INE878B01027,KEI.NS
KIOCL Ltd,INE880L01014,KIOCL.NS
Kirloskar Oil Engines Ltd,INE146L01010,KIRLOSENG.NS
KNR Constructions Ltd,INE634I01029,KNRCON.NS
Kotak Mahindra Bank Ltd.,INE237A01028,KOTAKBANK.NS
KRBL Ltd,INE001B01026,KRBL.NS
KSB Ltd,INE999A01015,KSB.NS
L&T Finance Holdings Ltd,INE498L01015,L&TFH.NS
L&T Technology Services Ltd,INE010V01017,LTTS.NS
La Opala RG Ltd,INE059D01020,LAOPALA.NS
Lakshmi Machine Works Ltd.,INE269B01029,LAXMIMACH.NS
Larsen & Toubro Ltd,INE018A01030,LT.NS
Larsen & Toubro Infotech Ltd,INE214T01019,LTI.NS
Laurus Labs Ltd,INE947Q01010,LAURUSLABS.BO
Lemon Tree Hotels,INE970X01018,LEMONTREE.NS
Lic Housing Finance Ltd.,INE115A01026,LICHSGFIN.NS
Linde India Ltd,INE473A01011,LINDEINDIA.NS
Lupin Ltd,INE326A01037,LUPIN.NS
Lux Industries Ltd,INE150G01020,LUXIND.NS
Mahanagar Gas Ltd,INE002S01010,MGL.NS
Maharashtra Scooters Ltd,INE288A01013,MAHSCOOTER.NS
Maharashtra Seamless Ltd.,INE271B01025,MAHSEAMLES.NS
Mahindra and Mahindra,INE101A01026,M&M.NS
Mahindra & Mahindra Financial Services,INE774D01024,M&MFIN.NS
Mahindra CIE Automotive Ltd,INE536H01010,MAHINDCIE.NS
Mahindra Holidays & Resorts India,INE998I01010,MHRIL.NS
