company_name,isin,symbol
Star Cement Ltd,INE460H01021,STARCEMENT.NS
State Bank Of India,INE062A01020,SBIN.NS
Steel Authority of India Ltd.,INE114A01011,SAIL.NS
Sterling and Wilson Solar Ltd BO,INE00M201021,SWSOLAR.NS
Sterlite Technologies Ltd,INE089C01029,STLTECH.NS
Strides Pharma Science Ltd,INE939A01011,STAR.NS
Sudarshan Chemical Industries Ltd,INE659A01023,SUDARSCHEM.NS
Sumitomo Chemical India,INE258G01013,SUMICHEM.NS
Sun Pharmaceutical Industries Ltd.,INE044A01036,SUNPHARMA.NS
Sun Pharma Advanced Research Company Ltd,INE232I01014,SPARC.NS
Sun TV Network Ltd,INE424H01027,SUNTV.NS
Sundaram Clayton Ltd,INE105A01035,SUNCLAYLTD.NS
Sundaram Finance Ltd,INE660A01013,SUNDARMFIN.NS
Sundram Fasteners Ltd,INE387A01021,SUNDRMFAST.NS
Sunteck Realty Ltd,INE805D01034,SUNTECK.NS
Suprajit Engineering Ltd,INE399C01030,SUPRAJIT.NS
Supreme Industries Ltd.,INE195A01028,SUPREMEIND.NS
Supreme Petrochem Ltd,INE663A01017,SUPPETRO.NS
Suven Pharmaceuticals,INE03QK01018,SUVENPHAR.NS
Swan Energy Ltd,INE665A01038,SWANENERGY.NS
Symphony Ltd,INE225D01027,SYMPHONY.NS
Syngene International Ltd,INE398R01022,SYNGENE.NS
Tasty Bite Eatables Ltd,INE488B01017,TASTYBITE.NS
Tata Chemicals Ltd,INE092A01019,TATACHEM.NS
Tata Communications Limited,INE151A01013,TATACOMM.NS
Tata Consultancy Services Ltd.,INE467B01029,TCS.NS
TATA CONSUMER PRODUCTS LIMITED,INE192A01025,TATACONSUM.NS
Tata Elxsi Ltd,INE670A01012,TATAELXSI.NS
Tata Investment Corporation Ltd.,INE672A01018,TATAINVEST.NS
Tata Motors Ltd,INE155A01022,TATAMOTORS.NS
Tata Power Company,INE245A01021,TATAPOWER.NS
Tata Steel BSL Ltd,INE824B01021,TATASTEEL.NS
Tata Steel BSL Ltd,INE824B01021,TATASTEEL.NS
TCI Express Ltd,INE586V01016,TCIEXP.NS
TCNS Clothing Co Ltd,INE778U01029,TCNSBRANDS.NS
Teamlease Services Ltd,INE985S01024,TEAMLEASE.NS
Tech Mahindra Ltd,INE669C01036,TECHM.NS
Techno Electric & Engineering Company Ltd,INE285K01026,TECHNOE.NS
The Indian Hotels Company,INE053A01029,INDHOTEL.NS
The Karnataka Bank,INE614B01018,KTKBANK.NS
The New India Assurance Company,INE470Y01017,NIACL.NS
Thermax Ltd.,INE152A01029,THERMAX.NS
Thyrocare Technologies Ltd,INE594H01019,THYROCARE.NS
Tide Water Oil Company (India),INE484C01030,TIDEWATER.NS
Timken India Ltd,INE325A01013,TIMKEN.NS
Titan Company Ltd,INE280A01028,TITAN.NS
Torrent Pharmaceuticals Ltd.,INE685A01028,TORNTPHARM.NS
Torrent Power Ltd,INE813H01021,TORNTPOWER.NS
Transport Corporation of India Ltd,INE688A01022,TCI.NS
Trent Ltd,INE849A01020,TRENT.NS
Trident Ltd,INE064C01014,TRIDENT.BO
Triveni Turbine Ltd,INE152M01016,TRITURBINE.NS
TTK Prestige Ltd.,INE690A01010,TTKPRESTIG.NS
Tube Investments of India Ltd,INE974X01010,TIINDIA.NS
TV18 Broadcast Ltd.,INE886H01027,TV18BRDCST.NS
TVS Motor Company Ltd.,INE494B01023,TVSMOTOR.NS
UCO Bank,INE691A01018,UCOBANK.NS
Ujjivan Small Finance Bank,INE551W01018,UJJIVANSFB.NS
Ujjivan Financial Services Ltd,INE334L01012,UJJIVAN.NS
UltraTech Cement Ltd,INE481G01011,ULTRACEMCO.NS
Union Bank of India Ltd,INE692A01016,UNIONBANK.NS
United Breweries Ltd.,INE686F01025,UBL.NS
United Spirits Ltd,INE854D01024,MCDOWELL-N.NS
UPL Ltd,INE628A01036,UPL.NS
V-Guard Industries,INE951I01019,VGUARD.NS
V-mart Retail Ltd,INE665J01013,VMART.NS
Vaibhav Global Ltd,INE884A01019,VAIBHAVGBL.NS
Vakrangee Softwares Ltd.,INE051B01021,VAKRANGEE.NS
Vardhman Textiles Ltd,INE825A01012,VTL.NS
Varroc Engineering Ltd,INE665L01035,VARROC.NS
Varun Beverages Ltd,INE200M01013,VBL.NS
Vedanta Ltd,INE205A01025,VEDL.NS
Venky's (India),INE398A01010,VENKEYS.NS
Vesuvius India Ltd,INE386A01015,VESUVIUS.NS
Vinati Organics Ltd,INE410B01029,VINATIORGA.BO
VIP Industries Ltd,INE054A01027,VIPIND.NS
Vodafone Idea Ltd,INE669E01016,IDEA.NS
Voltas Ltd.,INE226A01021,VOLTAS.NS
VRL Logistics Ltd,INE366I01010,VRLLOG.NS
VST Industries Ltd.,INE710A01016,VSTIND.NS
WABCO India Ltd,INE342J01019,WABCOINDIA.BO
Welspun Corp Ltd,INE191B01025,WELCORP.NS
Welspun India Ltd,INE192B01031,WELSPUNIND.NS
Whirlpool of India Ltd,INE716A01013,WHIRLPOOL.NS
Wipro Ltd,INE075A01022,WIPRO.NS
Wockhardt Ltd,INE049B01025,WOCKPHARMA.NS
Yes Bank Ltd,INE528G01027,YESBANK.NS
Zee Entertainment Enterprises Ltd.,INE256A01028,ZEEL.NS
Zensar Technologies Ltd,INE520A01027,ZENSARTECH.NS
Zydus Wellness Ltd,INE768C01010,ZYDUSWELL.NS
